TIME [s]   SATELITE_I DISTANCE [m]        
13500      23         31220819.1420122    
13500      24         20883927.2321657    
13500      25         25079927.4306832    
13500      26         31212358.8150152    
13500      27         32086009.6308868    
13500      28         25849455.457922     
13500      29         23942345.809521     
13500      30         26587599.8313955    
13500      31         30555221.9411542    
13500      32         27243662.3656759    
14400      01         31176868.1756184    
14400      02         20650545.1830366    
14400      03         28478182.098956     
14400      04         31526004.4074511    
14400      05         24082762.6734354    
14400      06         22296900.9226211    
14400      07         30086912.5104366    
14400      08         32195522.2569135    
14400      09         30185042.0791096    
14400      10         29479165.8815815    
14400      11         31944104.3383018    
14400      12         22527641.7612133    
14400      13         24058681.8406695    
14400      14         28132841.2911037    
14400      15         23702460.6689729    
14400      16         31657920.8080068    
14400      17         26346995.3323203    
14400      18         28272542.2363565    
14400      19         24229476.5849107    
14400      20         25468059.6995114    
14400      21         27450502.5146591    
14400      22         29747121.9864816    
14400      23         31092165.1625681    
14400      24         20673565.6549247    
14400      25         24746227.6145233    
14400      26         31127909.5718777    
14400      27         31858062.3037943    
14400      28         26025941.3936711    
14400      29         23645765.186046     
14400      30         27182160.8306935    
14400      31         30130241.3800718    
14400      32         26984236.6247361    
15300      01         31596203.6148949    
15300      02         20743445.9782735    
15300      03         28695876.2841909    
15300      04         31252992.2843375    
15300      05         23760630.7092728    
15300      06         22733698.0727024    
15300      07         30561385.2916871    
15300      08         32113363.7483497    
15300      09         30122822.2916978    
15300      10         29545227.186519     
15300      11         32218093.2403075    
15300      12         22270541.6709476    
15300      13         24496444.1722143    
15300      14         27821845.4067828    
15300      15         23984125.5043782    
15300      16         31647809.8980818    
15300      17         26711509.4328192    
15300      18         28143916.7375593    
15300      19         24711751.617371     
15300      20         25147870.9127099    
15300      21         26867408.7561973    
15300      22         29994387.1880839    
15300      23         30934662.4048187    
15300      24         20550593.998911     
15300      25         24387796.1608223    
15300      26         31021348.1511612    
15300      27         31620295.3025959    
15300      28         26231740.0681392    
15300      29         23398110.3032853    
15300      30         27768447.3135112    
15300      31         29666648.06248      
15300      32         26782661.6698898    
16200      01         31967792.7272664    
16200      02         20920027.0065583    
16200      03         28960330.6606333    
16200      04         30981819.3078215    
16200      05         23421512.3433602    
16200      06         23229079.8241247    
16200      07         30989978.7773625    
16200      08         32014242.947528     
16200      09         30024339.5013435    
16200      10         29572416.7533956    
16200      11         32439809.6135852    
16200      12         22007884.8367405    
16200      13         24898147.659799     
16200      14         27559152.3946821    
16200      15         24247828.2649027    
16200      16         31625002.7651728    
16200      17         27039279.1202304    
16200      18         27966138.0069189    
16200      19         25167536.3833986    
16200      20         24780552.6603342    
16200      21         26273705.4266303    
16200      22         30266053.0944926    
16200      23         30757208.1361364    
16200      24         20519546.9783177    
16200      25         24005807.8539841    
16200      26         30887144.2816604    
16200      27         31378687.278262     
16200      28         26471581.4229539    
16200      29         23196296.3568317    
16200      30         28336300.77073      
16200      31         29171403.8699932    
16200      32         26640003.6214182    
17100      01         32286547.3550313    
17100      02         21173581.9479073    
17100      03         29265498.8080263    
17100      04         30716292.2470501    
17100      05         23078071.9951984    
17100      06         23769607.0632354    
17100      07         31366327.5582976    
17100      08         31904163.7636669    
17100      09         29898354.3436811    
17100      10         29553317.5471116    
17100      11         32609886.9917893    
17100      12         21746523.3165805    
17100      13         25255137.7070383    
17100      14         27348542.2473559    
17100      15         24483405.4624503    
17100      16         31583558.1204235    
17100      17         27331256.8060946    
17100      18         27736085.8214774    
17100      19         25593097.433073     
17100      20         24372680.1259695    
17100      21         25680927.4193335    
17100      22         30554236.3530081    
17100      23         30569118.0525721    
17100      24         20581310.5690045    
17100      25         23603213.3745121    
17100      26         30720116.4468144    
17100      27         31138501.4565559    
17100      28         26748516.3242741    
17100      29         23035476.5820128    
17100      30         28876219.7468364    
17100      31         28652758.8351396    
17100      32         26554752.9764414    
18000      01         32548814.5771327    
18000      02         21494908.5846511    
18000      03         29603629.0141546    
18000      04         30459113.6019999    
18000      05         22744208.3057116    
18000      06         24341466.3943388    
18000      07         31685314.5986449    
18000      08         31788685.4652846    
18000      09         29754437.2871363    
18000      10         29481852.2545391    
18000      11         32730061.7366519    
18000      12         21494945.4760874    
18000      13         25560696.9110013    
18000      14         27191542.3301818    
18000      15         24682207.7025143    
18000      16         31517428.2421556    
18000      17         27589796.1227969    
18000      18         27452263.2280942    
18000      19         25986554.3299818    
18000      20         23932619.8166492    
18000      21         25100979.723732     
18000      22         30850308.4242254    
18000      23         30379852.5059215    
18000      24         20733004.5000194    
18000      25         23184816.893176     
18000      26         30515684.1682723    
18000      27         30904070.843279     
18000      28         27063696.1248945    
18000      29         22909416.8826035    
18000      30         29379576.7927296    
18000      31         28120121.4146329    
18000      32         26522859.8103877    
18900      01         32752359.5140669    
18900      02         21873010.4812691    
18900      03         29965683.2459364    
18900      04         30211776.9878228    
18900      05         22434609.4701182    
18900      06         24931112.4397104    
18900      07         31943141.1951343    
18900      08         31672653.3700888    
18900      09         29602699.3754106    
18900      10         29353406.6363313    
18900      11         32803036.0851039    
18900      12         21262983.0439884    
18900      13         25810053.3809968    
18900      14         27087290.237864     
18900      15         24837242.3686995    
18900      16         31420719.7539652    
18900      17         27818493.7872017    
18900      18         27114914.4738959    
18900      19         26347725.7835672    
18900      20         23470432.7615475    
18900      21         24545701.8916324    
18900      22         31145197.5735452    
18900      23         30198702.5785105    
18900      24         20968160.67263      
18900      25         22757289.8966448    
18900      26         30270040.9591173    
18900      27         30678603.5155872    
18900      28         27416245.4958532    
18900      29         22810942.8394956    
18900      30         29838791.8385607    
18900      31         27583845.357028     
18900      32         26537968.5811172    
19800      01         32896336.7243699    
19800      02         22295857.7655335    
19800      03         30341748.3310791    
19800      04         29974507.6498127    
19800      05         22164183.6125281    
19800      06         25525755.8003645    
19800      07         32137382.7062143    
19800      08         31560022.2585108    
19800      09         29453454.1985558    
19800      10         29164903.2207973    
19800      11         32832326.8287433    
19800      12         21061440.948476     
19800      13         26000399.8052095    
19800      14         27032549.318798     
19800      15         24943283.9552634    
19800      16         31287959.1623685    
19800      17         28021995.6058679    
19800      18         26726059.4074159    
19800      19         26677965.5495389    
19800      20         22997766.4802154    
19800      21         24026366.341217     
19800      22         31429765.3076196    
19800      23         30034450.7597141    
19800      24         21277235.2267187    
19800      25         22329121.8454604    
19800      26         29980385.2978433    
19800      27         30464053.7288334    
19800      28         27803287.5359857    
19800      29         22732409.6767658    
19800      30         30247453.7724233    
19800      31         27054974.124062     
19800      32         26591763.3796716    
20700      01         32981222.8277459    
20700      02         22751062.5001471    
20700      03         30721477.0432615    
20700      04         29746283.3274746    
20700      05         21947372.2799682    
20700      06         26113750.4132981    
20700      07         32267019.601499     
20700      08         31453650.4881021    
20700      09         29316863.8971344    
20700      10         28914887.1815905    
20700      11         32822097.7550314    
20700      12         20901551.860828     
20700      13         26130891.2250506    
20700      14         27021872.1737788    
20700      15         24996946.2621284    
20700      16         31114325.4801859    
20700      17         28205782.4591138    
20700      18         26289512.8031347    
20700      19         26979955.42083      
20700      20         22527621.3630128    
20700      21         23553183.3616871    
20700      22         31695068.2709951    
20700      23         29895027.9455643    
20700      24         21648288.5862744    
20700      25         21910469.812616     
20700      26         29645048.9177046    
20700      27         30261049.4815366    
20700      28         28220071.0584635    
20700      29         22666188.3075819    
20700      30         30600434.6595959    
20700      31         26544898.4812959    
20700      32         26674412.1646492    
21600      01         33008765.1234228    
21600      02         23226467.2622637    
21600      03         31094458.1208082    
21600      04         29524911.9279166    
21600      05         21797347.3725814    
21600      06         26684828.8671048    
21600      07         32332439.5924895    
21600      08         31355181.7724688    
21600      09         29202523.0740708    
21600      10         28603538.4245686    
21600      11         32776979.150202     
21600      12         20794346.8892175    
21600      13         26202617.4715386    
21600      14         27047871.5421608    
21600      15         24996737.2977826    
21600      16         30895888.2961885    
21600      17         28375892.9322994    
21600      18         25810866.0594355    
21600      19         27257469.3568552    
21600      20         22074079.7030045    
21600      21         23134770.289502     
21600      22         31932649.3261473    
21600      23         29787153.6855932    
21600      24         22067782.0895917    
21600      25         21512907.0324221    
21600      26         29263650.5441358    
21600      27         30068866.7185705    
21600      28         28660183.8561679    
21600      29         22605116.7709286    
21600      30         30893954.6008379    
21600      31         26064970.8214745    
21600      32         26775061.3052033    
22500      01         32981849.0342655    
22500      02         23710644.8485232    
22500      03         31450590.8565523    
22500      04         29307159.6767303    
22500      05         21725160.8713775    
22500      06         27230271.3975223    
22500      07         32335432.8617776    
22500      08         31264970.2782752    
22500      09         29119047.4055263    
22500      10         28232692.2632029    
22500      11         32701901.7575144    
22500      12         20749943.8923742    
22500      13         26218566.1042493    
22500      14         27101609.1929619    
22500      15         24943087.8931757    
22500      16         30629792.3977872    
22500      17         28538671.9689904    
22500      18         25297444.0198602    
22500      19         27515134.1437915    
22500      20         21651860.3588706    
22500      21         22777663.0499246    
22500      22         32134745.2629479    
22500      23         29716046.5629854    
22500      24         22521349.9514675    
22500      25         21149036.1075433    
22500      26         28837205.8761682    
22500      27         29885495.1955439    
22500      28         29115876.2907894    
